text,label
"technopoli plan develop stage area 100,000 square meter order host company work computer technology telecommunication statement say",0
"technopoli architectural plan develop stage country c, 000 satisfying meter order host society work computer technology telecommunication argument say",0
international electronic industry company Elcoteq lay ten employee Tallinn facility contrary early layoff company contract rank office worker daily Postimees report,-1
international electronic industry companionship Elcoteq lay x employee Tallinn installation contrary ahead of time layoff party contract rank office worker daily Postimees account,-1
new production plant company increase capacity meet expect increase demand improve use raw material increase production profitability,1
new production plant companionship increase capacitance meet expect increase need improve purpose raw cloth increment production profitability,1
accord company update strategy year 2009 2012 Basware target long term net sale growth range 20 -40 operate profit margin 10 -20 net sale,1
accord company update scheme year 2009 2012 Basware prey farsighted term net sale growth range twenty - 40 operate profit leeway ten - xx net sale,1
financing ASPOCOMP GROWTH Aspocomp aggressively pursue growth strategy increasingly focus technologically demanding HDI print circuit board pcb,1
finance ASPOCOMP GROWTH Aspocomp sharply pursue growth strategy increasingly focus technologically demand HDI print circuit table pcb,1
quarter 2010 Componenta net sale double EUR131 m EUR76 m period year early move zero pre tax profit pre tax loss EUR7 m,1
one quarter 2010 Componenta net sale double EUR131 m EUR76 m time period class early move cipher pre tax profit pre tax departure EUR7 m,1
quarter 2010 net sale increase 5.2 EUR 205.5 mn operate profit 34.9 EUR 23.5 mn,1
stern 2010 final cut rate sale addition 5. 2 EUR 205. phoebe mn operate profit 34. 9 EUR 23. quintuplet mn,1
operate profit rise EUR 13.1 mn EUR 8.7 mn corresponding period 2007 represent 7.7 net sale,1
operate earnings rise EUR 13. ane mn EUR eighter. 7 mn corresponding period of time 2007 represent 7. 7 net sale,1
operate profit total EUR 21.1 mn EUR 18.6 mn 2007 represent 9.7 net sale,1
operate profits total EUR xxi. 1 mn EUR 18. 6 mn 2007 represent nine. 7 last sale,1
TeliaSonera TLSN say offer line strategy increase ownership core business holding strengthen Eesti Telekom offering customer,1
TeliaSonera TLSN tell tender line strategy increase ownership nitty gritty business concern holding strengthen Eesti Telekom offering customer,1
stora ENSO NORSKE SKOG M REAL upm KYMMENE Credit Suisse Boston CFSB raise fair value share large nordic forestry group,1
stora ENSO NORSKE SKOG Megabyte REAL upm KYMMENE Credit Suisse Boston CFSB raise fair value share big nordic forestry group,1
"purchase agreement 7,200 ton gasoline delivery Hamina terminal Finland sign Neste Oil oyj average Platts index September plus dollar month",1
"purchase agreement 7, cc ton gas delivery Hamina end Finland preindication Neste Oil oyj average Platts exponent September plus dollar calendar month",1
finnish Talentum report operating profit increase EUR 20.5 mn 2005 EUR 9.3 mn 2004 net sale total EUR 103.3 mn EUR 96.4 mn,1
finnish Talentum report function profit step up EUR twenty. 5 mn 2005 EUR 9. 3 mn 2004 final sale total EUR 103. iii mn EUR 96. quartet atomic number 25,1
clothing retail chain Sepp+Æl+Æ sale increase 8 EUR 155.2 mn operating profit rise EUR 31.1 mn EUR 17.1 mn 2004,1
clothing retail chain Sepp + Æl + Æ sale increment eight EUR clv. 2 mn operating net ascension EUR 31. i mn EUR 17. 1 mn 2004,1
consolidated net sale increase 16 reach EUR74 .8 m operating profit amount EUR0 .9 m compare loss EUR0 .7 m prior year period,1
consolidated net sale increase 16 reach EUR74. octonary m operating profit amount EUR0. 9 one thousand equivalence loss EUR0. 7 thousand prior twelvemonth period,1
Foundries division report sale increase 9.7 EUR 63.1 mn EUR 57.5 mn corresponding period 2006 sale Machine Shop division increase 16.4 EUR 41.2 mn EUR 35.4 mn corresponding period 2006,1
Foundries division report sales event increase 9. 7 EUR 63. 1 mn EUR 57. 5 mn agree period 2006 sales agreement Machine Shop division increase 16. 4 EUR 41. 2 mn EUR xxxv. 4 mn fit period 2006,1
HELSINKI AFX share close high lead Nokia announce plan team Sanyo manufacture 3 g handset Nokian Tyres fourth quarter earning report beat analyst expectation dealer say,1
HELSINKI AFX share close high star Nokia announce plan squad Sanyo manufacture iii g handset Nokian Tyres fourth quarter earning news report beat analyst first moment trader state,1
incap Contract Manufacturing Services Pvt Ltd subsidiary Incap Corporation Finland plan double revenue 2007 2008,1
incap Declaration Manufacture Services Pvt Ltd subsidiary Incap Corporation Finland programme threefold taxation 2007 2008,1
board director propose dividend EUR0 .12 share 2010 EUR0 .08 share pay 2009,1
display panel director propose dividend EUR0. 12 share 2010 EUR0. 08 share earnings 2009,1
Lifetree found 2000 revenue rise average 40 margin late 30,1
Lifetree found 2000 revenue rise middling 40 margin late thirty,1
Filippova trilateral agreement investment construction technology park St Petersburg sign course forum day russian Economy open Helsinki today,1
Filippova trilateral concord investment construction technology parkland St Petersburg star sign course forum sidereal day russian Economy open Helsinki today,1
MegaFon subscriber base increase 16.1 2009 50.5 million user December 31 market share number customer amount 24 late 2009 23 late 2008 accord TeliaSonera estimate,1
MegaFon contributor base gain sixteen. 1 2009 50. 5 million user December xxxi market percentage phone number client amount 24 late 2009 23 late 2008 accord TeliaSonera estimation,1
net income life insurance double EUR 6.8 mn EUR 3.2 mn net income non life insurance rise EUR 5.2 mn EUR 1.5 mn corresponding period 2009,1
nett income life indemnity double EUR 6. 8 mn EUR 3. 2 mn last income non life indemnity hike EUR five. 2 mn EUR 1. 5 mn corresponding period 2009,1
net sale increase EUR193 .3 m EUR179 .9 m pretax profit rise 34.2 EUR43 .1 m. EUR1 = USD1 .4,1
net sales event increment EUR193. 3 thousand EUR179. 9 k pretax profit rise 34. 2 EUR43. 1 m. EUR1 = USD1. quartet,1
net sale surge 18.5 EUR167 .8 m. Teleste say EUR20 .4 m 12.2 sale come acquisition 2009,1
nett sales event upsurge eighteen. 5 EUR167. eight m. Teleste say EUR20. 4 thousand 12. 2 sales agreement descend acquisition 2009,1
Nordea Group operating profit increase 2010 18 percent year year 3.64 billion euro total revenue 3 percent 9.33 billion euro,1
Nordea Chemical group manoeuver profits increase 2010 18 pct year year 3. sixty four billion euro total revenue triad percent niner. 33 zillion euro,1
operate profit month period increase EUR13 .6 m net sale increase eur394 .7 m compare corresponding period 2005,1
operate earnings calendar month period increase EUR13. 6 m net sale increment eur394. 7 m compare match menstruum 2005,1
operate profit month period increase EUR3 .1 m net sale increase EUR61 .5 m compare corresponding period 2007,1
operate profits month menstruation increase EUR3. i m net sale increment EUR61. 5 m compare corresponding stop 2007,1
operate profit month period increase EUR1 .2 m revenue increase EUR20 .2 m compare corresponding period 2005,1
operate profit month period increment EUR1. 2 thousand revenue increase EUR20. deuce g compare corresponding geological period 2005,1
"brazilian unit finnish security solution provider F Secure sign 1,500 new client year online news source Reseller Web quote division commercial director Vladimir Brand+_o say",1
"brazilian unit finnish certificate resolution provider F Secure sign of the zodiac ane, 500 new customer year online news source Reseller Web quote division commercial grade director Vladimir Brand + _o enounce",1
company net profit rise 11.4 year 82.2 million euro 2005 sale 686.5 million euro 13.8 year company say early,1
society net profit rise xi. 4 year 82. 2 zillion euro 2005 sale 686. 5 1000000 euro 13. 8 year society state former,1
lithuanian beer market 14.41 million liter January rise 0.8 percent year early figure Lithuanian Brewers Association report cite result member,1
lithuanian beer marketplace xiv. 41 million litre January rise 0. 8 percent twelvemonth other figure Lithuanian Brewers Association report acknowledgment result member,1
"vike Line cargo revenue increase 5.4 EUR 21.46 mn cargo volume increase 2.4 70,116 cargo unit",1
"vike Line cargo taxation increase 5. quatern EUR twenty one. 46 mn cargo volume increase ii. quatern seventy, 116 freight unit",1
"fair value property portfolio double result Kapiteeli acquisition total EUR 2,686.2 1,259.7 million",1
"fair value holding portfolio double result Kapiteeli skill total EUR 2, 686. 2 1, 259. septet gazillion",1
10 February 2011 finnish medium company Sanoma Oyj HEL SAA1V say yesterday 2010 net profit triple EUR297 .3 m EUR107 .1 m 2009 announce proposal raise payout,1
x February 2011 finnish culture medium troupe Sanoma Oyj HEL SAA1V suppose yesterday 2010 net profit triple EUR297. 3 m EUR107. 1 mb 2009 announce proposal raise payout,1
helsinki ELIiV today report EPS EUR1 .13 2009 increase EPS EUR1 .12 2008,1
capital of finland ELIiV today report EPS EUR1. 13 2009 increase EPS EUR1. dozen 2008,1
Aspo Plc STOCK EXCHANGE RELEASE February 11 2011 at8 .45 a.m. ESL Shipping Ltd Aspo Group sign new long term contract Rautaruukki Corporation marine transport raw material Baltic Sea,1
Aspo Plc STOCK rally RELEASE February eleven 2011 at8. forty five a. thousand. ESL Shipping Ltd Aspo Mathematical group sign fresh long term contract Rautaruukki Corporation marine transport bare ass material Baltic Sea,1
Commission income increase 22 EUR 4.4 mn lending volume rise 13.5,1
Committal income increase 22 EUR iv. foursome mn lending intensity rise 13. 5,1
January traffic measure revenue passenger kilometre RPK go 3.2 capacity measure available seat kilometre ASK rise 12.2,1
Jan dealings measure revenue passenger kilometre RPK go 3. 2 capacity measure uncommitted seat klick ASK ascent 12. 2,1
January September 2010 Fiskars net profit go 14 year year EUR 65.4 million net sale EUR 525.3 million EUR 487.7 million,1
January September 2010 Fiskars net profit move xiv year yr EUR 65. quaternary billion net sales event EUR 525. 3 million EUR 487. 7 million,1
net income life insurance rise EUR 16.5 mn EUR 14.0 mn net income non life insurance EUR 22.6 mn EUR 15.2 mn 2009,1
last income life insurance rise EUR xvi. 5 mn EUR fourteen. 0 mn net income non lifetime indemnity EUR 22. 6 mn EUR 15. 2 mn 2009,1
"Nyrstar agree supply Talvivaara 150,000 tonne sulphuric acid annum use Talvivaara leach process period supply zinc concentrate",1
"Nyrstar agree supply Talvivaara one hundred fifty, 000 tonne sulphuric acid annum use Talvivaara leach physical process geological period supply atomic number 30 dressed ore",1
sale Department Store Division Hobby Hall increase 7 sale clothing store subsidiary Seppala decrease 4,1
sales agreement Department Memory Division Hobby Hall increase 7 sale article of clothing computer memory subsidiary Seppala decrease quaternity,1
sale rise export market,1
sales agreement rise exportation market,1
sale increase grow market rate increase operation,1
sale increase acquire grocery pace increase operation,1
agreement strengthen long term partnership Nokia Siemens Networks,1
accord strengthen long full term partnership Nokia Siemens Networks,1
agreement sign Biohit Healthcare Ltd UK base subsidiary Biohit Oyj finnish public company develop manufacture market liquid handling product diagnostic test system,1
agreement sign Biohit Healthcare Ltd UK fundament subsidiary Biohit Oyj finnish public company modernise manufacture market liquid cover product diagnostic test arrangement,1
company estimate carry investment lead increase net sale 2010 2009 reach EUR 141.7 million,1
company estimate carry investment lead increase nett cut rate sale 2010 2009 stretch EUR 141. 7 gazillion,1
company order book stand 1.5 bln euro $ 2.2 bln September 30 2007 24.2 pct year international order amount 365 mln euro $ 534.3 mln,1
society purchase order book stand unity. 5 bln euro $ 2. two bln September 30 2007 24. 2 pct year international ordination amount 365 mln euro $ 534. triplet mln,1
company say paper demand increase main market include publication paper increase average paper price 4 percent compare year,1
company say composition demand increase main market admit publication newspaper addition average paper price tetrad percentage compare year,1
world second large stainless steel maker say net profit month period Dec. 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year,1
public second big stainless steel steel maker enunciate last profit month period Dec. 31 surge euro603 gazillion us $ 781 million euro3. 33 us $ quartet. 31 share euro172 gazillion euro0. 94 plowshare late year,1
framework partnership Nokia Siemens Networks sign initial framework purchase agreement Sitronics subsidiary JSC Mikron large manufacturer exporter microelectronic component Russia,1
framework partnership Nokia Siemens Network sign initial framework purchase agreement Sitronics subsidiary company JSC Mikron gravid manufacturer exporter microelectronic component Russia,1
Seppala revenue increase 0.2 EUR10 .1 m. Finland revenue go 2.4 EUR6 .8 m sale abroad rise 6.2 EUR3 .3 m. sale increase baltic country Russia Ukraine,1
Seppala gross addition 0. 2 EUR10. 1 m. Finland tax revenue locomote ii. 4 EUR6. 8 m sale afield rise 6. ii EUR3. 3 m. sales agreement increase baltic country Russian soviet federated socialist republic Ukraine,1
share Standard Chartered STAN rise 1.2 FTSE 100 Royal Bank Scotland RBS share rise 2 Barclays share BARC BCS 1.7,1
part Standard Chartered STAN rise ane. deuce FTSE c Royal Banking company Scotland RBS share upgrade 2 Barclays share BARC BCS 1. 7,1
share Nokia Corp. rise Thursday cell phone maker say quarter earning double share global handset market increase,1
share Nokia Corp. rise Thursday cell sound maker enounce fourth part realize double share global handset market increment,1
financial report publish Friday SEB say net profit soar SEK6 .745 bn 2010 year early SEK1 .114 bn propose 50 dividend increase SEK1 .50 share,1
financial story publish Friday SEB aver net profit soar SEK6. 745 bn 2010 year early SEK1. 114 bn propose l dividend increase SEK1. 50 share,1
sale Department Store Division increase 15 sale clothing store subsidiary Seppala increase 8 sale Hobby Hall decrease 12,1
sales event Department Store Division increase 15 sale wearable store subsidiary Seppala increase 8 sales event Hobby Hall diminution dozen,1
request finnish medium company Alma Media newspaper research manager Jari Kaivo oja Finland Futures Research Centre Turku School Economics draw future scenario Finland national economy model develop University Denver,0
request finnish medium society Alma Medium paper research manager Jari Kaivo oja Finland Futures Research Centre Turku School day Economic science draw time to come scenario Finland interior economy model acquire University Denver,0
Sweden Gallerix accumulate SEK denominate sale 1 EUR denominate sale 11,0
Sweden Gallerix accumulate SEK denominate sale 1 EUR denominate sales agreement 11,0
company support global customer develop new technology offer fast route product development application volume production,0
company support global client develop new technology offering dissolute route product maturation covering volume production,0
investment place Atria plan expand Moscow market,0
investment place Atrium plan inflate Russian capital market,0
` ` new agreement continuation theagreement sign early year Lemminkainen Group Cramo acquire entire construction machine fleet ofLemminkainen Talo Oy Ita ja Pohjois Suomo sign asimilar agreement say Tatu Hauhio manage director ofCramo Finland,0
` ` modern agreement lengthiness theagreement sign early year Lemminkainen Group Cramo acquire entire construction machine fleet ofLemminkainen Talo Oy Ita ja Pohjois Suomo sign asimilar understanding say Giant armadillo Hauhio manage director ofCramo Suomi,0
contract envisage construction ferryboat option unit confirm total value 500 mln euro $ 645.8 mln,1
declaration envisage structure ferryboat alternative unit substantiate total value d mln euro $ 645. octonary mln,1
June sell 30 percent stake Nordstjernan investment group take option acquire EQT remain share,0
June trade thirty percent post Nordstjernan investment grouping occupy option acquire EQT remain share,0
KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 09.30 1 1 Kesko Corporation Aspo plc today sign agreement Aspo acquire share capital Kauko Telko Ltd subsidiary wholly own Kesko,1
KESKO tummy STOCK EXCHANGE RELEASE xxviii. 02. 2008 09. 30 1 1 Kesko Corp Aspo plc today sign correspondence Aspo learn share uppercase Kauko Telko Ltd subsidiary wholly own Kesko,1
Sponda Plc Stock Exchange Release 5 December 2006 15.45 EUR 1.5 billion syndicated CREDIT FACILITY SPONDA Sponda sign agreement year syndicate credit facility total EUR 1.5 billion,1
Sponda Plc Stock Exchange Release quint December 2006 xv. 45 EUR ane. 5 one million million syndicate CREDIT FACILITY SPONDA Sponda sign arrangement year syndicate credit facility total EUR 1. 5 1000000000000,1
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribe BasWare Warrant Program,0
farm animal telephone exchange ANNOUNCEMENT 20 July 2006 1 1 basware share subscription warrant increase share majuscule entire 119 850 share subscribe BasWare Warrant Program,0
contract cover hdo platform AC800 CXE880 optical Fttb node design increase forward return path capacity transmission network,1
declaration masking hdo platform AC800 CXE880 optic Fttb thickening design increase forward return path electrical capacity transmission network,1
new plant plan electricity generation capacity 350 megawatt MW heat generation capacity,0
fresh works design electricity generation capacity 350 megawatt MW heat generation capacity,0
"OMX Helsinki 25 index 0.92 pct 2,518.67 Helsinki CAP portfolio index 0.91 pct high 4,711.19",1
"OMX Helsingfors twenty five indicator 0. 92 pct 2, 518. sixty seven Helsinki jacket portfolio index zero. ninety one pct high tetrad, 711. nineteen",1
sale growth car considerably influence tire market,0
sales agreement growth railcar substantially influence tire market,0
"maximum 666,104 new share subscribe exercise b option 2004 stock option plan",0
"maximum 666, 104 new portion subscribe exercise b option 2004 inventory option programme",0
"result share issue number company share increase 391,630 share share capital total EUR 15,665.20",0
"resolution plowshare issue number company percentage increase 391, 630 share part capital total EUR fifteen, 665. 20",0
finnish real estate investor Sponda Plc say Wednesday 12 March sign agreement Danske Bank S Helsinki Branch 7 year eur150 m credit facility Ilmarinen Mutual Pension Insurance Company 7 year EUR50 m credit facility,0
finnish veridical estate investor Sponda Plc say Wednesday 12 March signal correspondence Danske Banking concern Sec Helsinki Offshoot 7 yr eur150 m credit facility Ilmarinen Mutual Pension Insurance Companionship 7 year EUR50 m credit facility,0
route Helsinki Finland Tallinn Estonia cargo volume increase 36 cargo volume Finland Sweden fall 9,0
route Helsinki Finland Tallin Estonia cargo volume increment 36 cargo volume Suomi Sweden crepuscle nina from carolina,0
measure include increase synergy economy scale Grimaldi Group personnel adjustment divestment redelivery excess tonnage,0
measure let in increase synergy economy scale Grimaldi Grouping force adjustment divestment redelivery excess tonnage,0
"Rinkuskiai raise sale 18.1 percent 1.37 million liter sale Kauno Alus grow 14.3 percent 960,000 liter",1
"Rinkuskiai raise sale eighteen. 1 percent 1. xxxvii million liter cut rate sale Kauno Alus grow 14. 3 percent 960, 000 liter",1
TELECOMWORLDWIRE-7 April 2006 TJ Group Plc sell stake Morning Digital Design Oy Finnish company TJ Group Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj,0
TELECOMWORLDWIRE - 7 Apr 2006 TJ Chemical group Plc sell stake Aurora Digital Conception Oy Finnish company TJ Grouping Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj,0
TELECOMWORLDWIRE-7 April 2006 TJ Group Plc sell stake Morning Digital Design Oy Finnish company TJ Group Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj,1
TELECOMWORLDWIRE - 7 April 2006 TJ Grouping Plc sell post Morning Digital Innovation Oy Finnish company TJ Group Plc allege Friday 7 April sign agreement sell share Morning Digital Pattern Oy Edita Oyj,1
"718,430 new Series share subject trading Helsinki Stock Exchange Main List old Series share July 3 2006",0
"718, 430 new Series share subject trading Capital of finland Stock Interchange Briny Lean old Series share July trinity 2006",0
fuel purchase contract sign month delivery September November,0
fuel leverage contract sign month manner of speaking Sep November,0
Tiimari operate 194 store country include core finnish market generate turnover 76.5 mln eur 2005,0
Tiimari function 194 storage country include core finnish market generate turnover lxxvi. five mln eur 2005,0
agreement Biohit focus supplier pipettor disposable pipettor tip VWR customer Europe,1
agreement Biohit focus provider pipettor disposable pipettor tip VWR client Europe,1
combination service enable offer complex strengthened service chain limit baltic port connection get access world wide Grimaldi Network Mediterranean Africa North America ` ` say Uwe Bakosch,1
compounding service enable offer composite strengthened serving chain point of accumulation baltic port connexion get entree world wide Grimaldi Network Mediterranean Africa N America ` ` tell Uwe Bakosch,1
blind spot come 1 vantage point allow investigator story high resolution unbroken video,0
blind point come ane advantage point allow investigator story high resolution kept video,0
company expect turnover 2010 slightly increase level 2009 add ` ` market predictability poor trustworthy forecast market development contract manufacturing business current year,1
ship's company ask turnover 2010 more or less increase level 2009 add ` ` market predictability poor trustworthy forecast market place development contract manufacturing job current class,1
acquisition considerably increase Kemira sale market position russian metal industry coating market,1
learning considerably increase Kemira cut rate sale market position russian metal industry coat market place,1
January September 2007 Finnlines net sale rise EUR 505.4 mn EUR 473.5 mn corresponding period 2006,1
January Sep 2007 Finnlines net cut rate sale raise EUR 505. foursome mn EUR 473. 5 mn corresponding period 2006,1
adjust change Group structure Division net sale increase 1.7,1
adjust alteration Group social organization Division net sale increment ane. 7,1
` ` change optimize operational efficiency grow business say Julia Prohaska director marketing communication Fiskars,1
` ` change optimize usable efficiency grow job enunciate Julia Prohaska director marketing communicating Fiskars,1
` ` invest physical infrastructure provide know manage develop science technology park say Sunrise Valley director Andrius Bagdonas,1
` ` induct physical base provide love manage develop science technology park say First light Vale director Andrius Bagdonas,1
4 February 2011 finnish broadband datum communication system provider Teleste Oyj HEL tlt1v see net profit jump EUR2 .1 m quarter 2010 EUR995 000 period 2009,1
quaternary February 2011 finnish broadband data point communication scheme provider Teleste Oyj HEL tlt1v see net profit leap EUR2. ane m quarter 2010 EUR995 000 point 2009,1
Finnish Aktia Group operating profit rise EUR 17.5 mn quarter 2010 EUR 8.2 mn quarter 2009,1
Finnish Aktia Radical operating profit rise EUR 17. 5 mn quarter 2010 EUR octonary. 2 mn stern 2009,1
Finnish Bank + land consolidated net operating profit increase EUR 4.8 mn quarter 2005 EUR 6.4 mn quarter 2006,1
Finnish Depository financial institution + commonwealth consolidate final operating profit increase EUR 4. 8 mn fourth part 2005 EUR 6. 4 mn one quarter 2006,1
finnish financial group Aktia report operate profit EUR 44.4 mn January September 2009 EUR 37.3 mn corresponding period 2008,1
finnish financial group Aktia story operate profit EUR 44. 4 mn Jan Sep 2009 EUR 37. 3 mn corresponding period 2008,1
finnish high technology provider Vaahto Group report net sale EUR 41.8 mn accounting period September 2007 February 2008 increase 11.2 year early,1
finnish gamy technology supplier Vaahto Group report net sale EUR 41. 8 mn accountancy period September 2007 Feb 2008 addition 11. 2 class early,1
net sale finnish food industry company L+Ænnen Tehtaat continue operation increase 13 2008 EUR 349.1 mn EUR 309.6 mn 2007,1
net sales event finnish nutrient manufacture company L + Ænnen Tehtaat bear on operation increase xiii 2008 EUR 349. 1 mn EUR 309. 6 mn 2007,1
individual promotion generate slightly high expect revenue,1
private promotion generate slightly high expect tax income,1
Biohit service current Genesis customer customer base expect expand result agreement,1
Biohit inspection and repair current Book of genesis customer customer substructure expect expand result agreement,1
operate profit turnover month period increase respectively EUR0 .9 m EUR8 .3 m compare corresponding period 2005,1
operate profit turnover month period increase respectively EUR0. 9 one thousand EUR8. iii m compare equate period 2005,1
circulation revenue increase 5 Finland 4 Sweden 2008,1
circulation tax revenue increase 5 Suomi 4 Sweden 2008,1
clothing chain Sepp+Æl+Æ net sale increase 7.0 EUR 30.8 mn,1
clothing chain Sepp + Æl + Æ nett sales agreement increase heptad. 0 EUR thirty. octet minnesota,1
construction volume grow rate 10 15 percent annually,1
construction volume grow charge per unit ten 15 percent annually,1
finnish swedish construction market experience estimate 4 annual growth 2008,1
finnish swedish twist market experience estimate iv yearly growth 2008,1
Biohit estimate total net sale continue grow 2009 favourable trend net sale lead profit 2009,1
Biohit figure total net sale continue produce 2009 favourable trend net sales event lead net 2009,1
2009 Fiskars cash flow operating activity amount EUR121 m EUR97 m previous year,1
2009 Fiskars cash flow control activity sum EUR121 m EUR97 m former year,1
"Lithuania operating profit rise EUR 190,000 EUR 70,000 corresponding period 2005",1
"Lithuania operating profits rise EUR 190, 000 EUR seventy, 000 corresponding period 2005",1
